URI|PROPERTY|ENGLISH
http://snomed.info/id/216381007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, stadium
http://snomed.info/id/216382000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, public swimming pool
http://snomed.info/id/216383005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, tennis court
http://snomed.info/id/216384004|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, vacation resort
http://snomed.info/id/216386002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, street and highway
http://snomed.info/id/216387006|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, street
http://snomed.info/id/216388001|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, highway
http://snomed.info/id/216390000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, public building
http://snomed.info/id/216391001|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, airport
http://snomed.info/id/216392008|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, bank
http://snomed.info/id/216393003|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, cafe
http://snomed.info/id/216394009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, casino
http://snomed.info/id/216395005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, church
http://snomed.info/id/216397002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, clubhouse
http://snomed.info/id/216398007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, courthouse
http://snomed.info/id/216399004|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, dance hall
http://snomed.info/id/216400006|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, garage, for car storage
http://snomed.info/id/216401005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, hotel
http://snomed.info/id/216402003|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, commodity market
http://snomed.info/id/216403008|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, movie house
http://snomed.info/id/216403008|http://www.w3.org/2004/02/skos/core#altLabel|Place of occurrence of accident or poisoning, cinema
http://snomed.info/id/216404002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, music hall
http://snomed.info/id/216405001|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, nightclub
http://snomed.info/id/216406000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, office
http://snomed.info/id/216407009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, office building
http://snomed.info/id/216408004|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, opera house
http://snomed.info/id/216409007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, post office
http://snomed.info/id/216410002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, public hall
http://snomed.info/id/216411003|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, radio broadcasting station
http://snomed.info/id/216412005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, restaurant
http://snomed.info/id/216413000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, state school
http://snomed.info/id/216414006|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, public school
http://snomed.info/id/216415007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, private school
http://snomed.info/id/216416008|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, shop, commercial
http://snomed.info/id/216417004|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, bus station
http://snomed.info/id/216418009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, railway station
http://snomed.info/id/216419001|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, store
http://snomed.info/id/216420007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, theatre
http://snomed.info/id/216422004|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, residential institution
http://snomed.info/id/216423009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, children's home
http://snomed.info/id/216424003|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, dormitory
http://snomed.info/id/216425002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, hospital
http://snomed.info/id/216427005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, old people's home
http://snomed.info/id/216428000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, orphanage
http://snomed.info/id/216429008|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, prison
http://snomed.info/id/216430003|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, reform school
http://snomed.info/id/216436009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, derelict house
http://snomed.info/id/216437000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, desert
http://snomed.info/id/216438005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, dock
http://snomed.info/id/216440000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, forest
http://snomed.info/id/216441001|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, harbor
http://snomed.info/id/216442008|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, hill
http://snomed.info/id/216444009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, mountain
http://snomed.info/id/216445005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, parking lot
http://snomed.info/id/216446006|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, parking place
http://snomed.info/id/216447002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, natural pond or pool
http://snomed.info/id/216448007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, prairie
http://snomed.info/id/216450004|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, railway line
http://snomed.info/id/216451000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, reservoir
http://snomed.info/id/216452007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, river
http://snomed.info/id/216453002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, sea
http://snomed.info/id/216455009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, stream
http://snomed.info/id/216456005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, swamp
http://snomed.info/id/216457001|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, trailer court
http://snomed.info/id/216458006|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, wood
http://snomed.info/id/21700006|http://www.w3.org/2004/02/skos/core#prefLabel|Free-standing dermatology clinic
http://snomed.info/id/22201008|http://www.w3.org/2004/02/skos/core#prefLabel|Free-standing dental clinic
http://snomed.info/id/22201008|http://www.w3.org/2004/02/skos/core#altLabel|Free-standing dental health clinic
http://snomed.info/id/22232009|http://www.w3.org/2004/02/skos/core#prefLabel|Hospital
http://snomed.info/id/223354003|http://www.w3.org/2004/02/skos/core#prefLabel|Alderney
http://snomed.info/id/223355002|http://www.w3.org/2004/02/skos/core#prefLabel|Anegada
